"ID";"Questao";"Área"
"11";"— Vejo, disse ele com algum acanhamento, que o doutor não
é nenhum pé-rapado, mas nunca é bom facilitar... Minha filha
Nocência fez 18 anos pelo Natal, e é rapariga que pela feição parece
moça de cidade, muito ariscazinha de modos, mas bonita e boa
deveras... Coitada, foi criada sem mãe, e aqui nestes fundões. [...]
— Ora muito que bem, continuou Pereira caindo aos poucos
na habitual garrulice, quando vi a menina tomar corpo, tratei
logo de casá-la.
— Ah! é casada? perguntou Cirino.
— Isto é, é e não é. A coisa está apalavrada. Por aqui costuma
labutar no costeio do gado para São Paulo um homem de mão-
cheia, que talvez o sr. conheça... o Manecão Doca...
— Não, respondeu Cirino abanando a cabeça.
— Pois isso é um homem às direitas, desempenado e trabucador
como ele só... fura estes sertões todos e vem tangendo pontes de
gado que metem pasmo. Também dizem que tem bichado muito
e ajuntado cobre grosso, o que é possível, porque não é gastador
nem dado a mulheres. Uma feita que estava aqui de pousada...
olhe, mesmo neste lugar onde estava mecê inda agorinha, falei-lhe
em casamento... isto é, dei-lhe uns toques... porque os pais devem
tomar isso a si para bem de suas famílias; não acha?
— Boa dúvida, aprovou Cirino, dou-lhe toda a razão; era
do seu dever.
TAUNAY, A. d’E. Inocência. Disponível em: www.dominiopublico.gov.br.
Acesso em: 29 fev. 2024.
Nesse trecho, ao se referir à sua filha, o pai de Inocência reproduz
os ideais românticos, presentes na
A valorização do ambiente rural na formação moral da mulher.
B figura decorativa da mulher ante o protagonismo masculino.
C equivalência de origem social para a harmonia do casal.
D importância do dote como condição para o casamento.
E aura de mistério sobre a identidade da jovem.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"12";"O Ministério do Esporte no Brasil lançou o programa Maré
Inclusiva, em 2024, ano dos Jogos Paralímpicos de Paris. Esse
programa visa ampliar as oportunidades para pessoas com
deficiência que desejam praticar o surf. O parasurf é a prática
do surf adaptada para permitir que pessoas com deficiência
pratiquem o esporte em todas as suas categorias, modalidades
e manifestações. Para a Secretaria Nacional do Paradesporto,
a iniciativa é mais do que um programa de esporte, é uma
iniciativa que busca transformar vidas e promover a inclusão por
meio do parasurf, criando um legado de igualdade e respeito.
Disponível em: www.gov.br/esporte. Acesso em: 6 set. 2024 (adaptado).
De acordo com esse texto, o programa voltado ao estímulo da
prática do parasurf evidencia a
A adesão de diferentes países a programas inclusivos.
B preocupação política em atender a demandas paralímpicas.
C importância de uma política pública esportiva para a inclusão.
D eficiência das iniciativas de inclusão em megaeventos esportivos.
E escassez de investimento em práticas corporais de aventura
na natureza.
ENEN2
8 LINGUAGENS, CÓDIG
M2025";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"13";"Art. 26-A. Nos estabelecimentos de ensino fundamental
e médio, oficiais e particulares, torna-se obrigatório o ensino
sobre História e Cultura Afro-Brasileira.
§ 1º O conteúdo programático a que se refere o caput deste
artigo incluirá o estudo da História da África e dos Africanos, a luta
dos negros no Brasil, a cultura negra brasileira e o negro na formação
da sociedade nacional, resgatando a contribuição do povo negro nas
áreas social, econômica e política pertinentes à História do Brasil.
§ 2º Os conteúdos referentes à História e Cultura Afro-
-Brasileira serão ministrados no âmbito de todo o currículo
escolar, em especial nas áreas de Educação Artística e de
Literatura e História Brasileiras.
BRASIL. Lei n. 10 639/2003. Disponível em: www.gov.br/planalto.
Acesso em: 5 maio 2024.
O emprego da norma-padrão é justificado nesse texto
A pela especialização de seu público-alvo.
B pela relevância cultural de seu conteúdo.
C pelos contextos pedagógicos em que circula.
D pela importância para os grupos étnico-raciais.
E pelas características do gênero a que pertence.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"14";"Disponível em: www.publishnews.com.br. Acesso em: 19 set. 2024.
Nesse cartaz publicitário, os recursos verbais e não verbais
constroem um argumento que objetiva
A divulgar a obra de Fernando Pessoa no Brasil.
B valorizar a realização de eventos literários no país.
C ressaltar o impacto da leitura na vida das pessoas.
D fomentar o turismo cultural na cidade de São Paulo.
E evidenciar a influência de Pessoa na literatura brasileira.
2025
GOS E SUAS TECNOLOGIAS E REDAÇÃO | 1º DIA | CADERNO 1 | AZUL
ENEM";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"15";"O retrato como gênero da pintura ocidental ficou vinculado
às elites, tornando invisíveis as populações que não faziam parte
do círculo dominante. Num país de tradição escravocrata e
colonizado por europeus como o Brasil, pouquíssimas pessoas
negras e indígenas foram retratadas em pintura, e menos ainda
identificadas com seus nomes nos retratos. Daí a importância,
para a história da arte e para a história brasileira, dos retratos
de Dalton Paula.
Disponível em: www.masp.org.br. Acesso em: 5 maio 2024 (adaptado).
Ao dar protagonismo a Zeferina e a João de Deus Nascimento,
o artista Dalton Paula evidencia que a(s)
A arte pode promover formas de afirmação de identidade social.
B comunidades periféricas passam a adquirir o gênero retrato.
C personagens retratadas simbolizam a sociedade brasileira.
D pintura funciona como instrumento de ascensão social.
E imagens tradicionais preservam memórias afetivas.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"16";"Símbolos
Eu e tu, ante a noite e o amplo desdobramento
do mar, fero, a estourar de encontro à rocha nua...
Um símbolo descubro aqui, neste momento
esta rocha, este mar... a minha vida e a tua.
O mar vem, o mar vai, nele há o gesto violento
de quem maltrata e, após, se arrepende e recua.
Como compreendo bem da rocha o sentimento!
São muito iguais, por certo, a minha mágoa e a sua.
Contemplo neste quadro a nossa triste vida;
tu és dúbio mar que, na sua inconsciência,
tem carinhos de amor e fúrias de demência!
Eu sou a dor estanque, a dor empedernida,
sou rocha a emergir de um côncavo de areia,
imóvel, muda, isenta e alheia ao mar, alheia.
MACHADO, G. Poesia completa. Rio de Janeiro:
Cátedra/MEC, 1978.
ENEM
LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO | 1º DIA |
M2025
Nesse soneto, os traços da estética simbolista são resgatados
pelo eu lírico ao
A rejeitar as emoções de “amor” e “mágoa”.
B expressar a dubiedade do olhar sobre o outro.
C representar o “eu” e o “tu” como sujeitos volúveis.
D associar a sua inconsciência a elementos da natureza.
E metaforizar o conflito amoroso nas imagens de “mar” e “rocha”.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"17";"Antes do inverno chegar.
Ela tinha olhinhos brilhantes. Os mesmos de antes. Antes
da fome. Antes das 17 mudanças de cidade. Dos sete filhos e
dos muitos anos de trabalho dentro e fora de casa.
Ela fazia ambrosia, bolo de fubá e pedacinhos de queijo.
Antes do inverno, ela plantava flores novas e diferentes para
nos esperar nas próximas férias de verão.
Ela tinha o jeito de menina. Menina sapeca, correndo na
grama seca do cerrado. O mesmo jeito de antes. Antes do
marido (e mesmo com o marido). Antes do cansaço dos anos.
Antes da dureza do trato com a terra.
Ela tinha histórias. Compridas, curtas, divertidas e
verdadeiras. Mas isso foi antes. Antes das lembranças se
bagunçarem feito bolas coloridas de Natal esperando para
serem montadas na árvore.
Eu era sua neta. Antes do Alzheimer chegar, eu era sua
neta. Mas ela é e sempre será minha avó.
PERSON, C. R. Borboletas no estômago: porque às vezes o título precisa
ser adolescente e clichê, já que a vida exige sermos tão adultos.
São Paulo: Ed. das Autoras, 2021.
A narradora, ao resgatar memórias da história de vida da avó,
faz uso recorrente da locução “antes de”. Esse termo colabora
para a progressão temática na medida em que
A relaciona eventos ocorridos simultaneamente.
B estabelece uma comparação entre as lembranças.
C ressalta fatos que ressignificam o momento presente.
D sinaliza uma sequência que denota ações consecutivas.
E apresenta uma explicação para as memórias resgatadas.
M2025
| CADERNO 1 | AZUL 9
ENEM";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"18";"Com 20 anos de experiência no futebol de alto rendimento,
Marina, ex-jogadora da seleção brasileira de futebol, salienta que,
por trás do espetáculo apresentado nas mídias, com mensagens de
motivação e superação, o esporte não é tão inclusivo assim. “É esta
análise que devemos fazer: aqueles atletas que estão ali estão
trazendo uma alta performance a partir dos seus limites”, explica.
Para a profissional, é preciso analisar com cautela “a ideia romântica
que a mídia passa para os telespectadores”. A realidade é muito
mais dura do que as imagens espetaculosas que principalmente
a televisão busca transmitir para a audiência. “Por trás existe
um ser humano, a gente não pode nunca esquecer isso. Aquela
pessoa treinou insistentemente para estar ali, durante meses,
semanas e temporadas. Duas vezes ao dia, de duas a quatro horas”,
pondera Marina. Atualmente, as crianças e os jovens vislumbram
o sucesso profissional e a boa-vida financeira de poucos atletas
que se destacam e estampam os meios de comunicação. Tudo
parece ser muito mais fácil do que realmente é quando apenas
as conquistas são mostradas.
ROSOLEN, N. Disponível em: www.uninter.com.
Acesso em: 10 maio 2024 (adaptado).
Nesse texto, a visão crítica de uma ex-atleta de futebol revela que
A os meios de comunicação invisibilizam as dificuldades
presentes no esporte.
B o treinamento atlético de alto nível é desestimulante para
os indivíduos.
C o trabalho contínuo é desvalorizado no contexto esportivo
profissional.
D as ações de incentivo financeiro a jovens atletas são precárias.
E as publicações da mídia esportiva rotulam atletas iniciantes.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"19";"No predomínio das mulheres pretas brasileiras nos Jogos
Olímpicos de 2024, uma coisa chamou a atenção no pódio: elas
valorizam a parte psicológica. As duas medalhistas de ouro, a
judoca Beatriz Souza e a ginasta Rebeca Andrade, ressaltam, em
várias entrevistas, a importância da saúde mental. Em uma dessas
entrevistas, Rebeca sinaliza: “Acho que não é só sobre vencer a
Simone, é sobre vencer a mim mesma. A minha briga está na
minha cabeça, não está com outras pessoas. Para conseguir fazer
as minhas apresentações, preciso controlar a minha cabeça, o meu
corpo, e essa é a briga”. Na mesma linha, a skatista Rayssa Leal
exalta a necessidade da terapia, e a Seleção Brasileira de Futebol de
Mulheres tem o suporte psicológico como reforço no treinamento.
Disponível em: https://iclnoticias.com.br.
Acesso em: 18 set. 2024 (adaptado).
Nesse texto, as atletas brasileiras defendem o(a)
A investimento na modernização de equipamentos.
B subordinação do treinamento físico ao mental.
C estímulo à competição entre adversárias.
D aprimoramento da expressão corporal.
E importância da saúde emocional.
ENEN2
10 LINGUAGENS, CÓDIG
M2025";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"20";"A característica fundamental no aprendizado das práticas
rituais nos candomblés é o processo iniciático e participante.
Durante o período de reclusão em terreiros ou rocas, o iniciado
passa por uma série de ritos esotéricos (banhos rituais, raspagem
da cabeça etc.), ao mesmo tempo em que começa a adquirir
um complexo código de símbolos materiais (substâncias, folhas,
frutos, raízes etc.) e de gestos associados a um repertório
linguístico específico das cerimônias que se desenrolam nos
contextos sagrados em geral e em cada terreiro em particular.
Esse repertório linguístico, genericamente chamado de
“língua de santo” na Bahia, compreende uma terminologia
religiosa operacional, de caráter mágico-semântico e de aparente
forma portuguesa, mas que repousa sobre sistemas lexicais de
diferentes línguas africanas que provavelmente foram faladas
no Brasil escravocrata, vindo a constituir uma língua ritual, que
se acredita pertencer à nação do vodum, do orixá ou do inquice,
e não a determinada nação africana política atual.
Disponível em: https://periodicos.ufba.br.
Acesso em: 21 jan. 2024 (adaptado).
A “língua de santo” tem sua importância para o patrimônio
linguístico brasileiro por
A apresentar uma carga semântica mítica.
B conservar elementos dos falares dos escravizados.
C resgatar expressões portuguesas do período colonial.
D decodificar o ritual religioso dos nossos antepassados.
E favorecer a compreensão do léxico africano contemporâneo.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"21";"O meu medo é entrar na faculdade e tirar zero eu que nunca
fui bom de matemática fraco no inglês eu que nunca gostei de
química geografia e português o que é que eu faço agora hein
mãe não sei. [...]
O meu medo é a vida piorar e eu não conseguir arranjar
emprego nem de faxineiro nem de porteiro nem de ajudante
de pedreiro e o pessoal dizer que o governo já fez o que pôde
já pôde o que fez já deu a sua cota de participação hein mãe
não sei.
O meu medo é que mesmo com diploma debaixo do braço
andando por aí desiludido e desempregado o policial me olhe
de cara feia e eu acabe fazendo uma burrice sei lá uma besteira
será que eu vou ter direito a uma cela especial hein mãe não sei.
FREIRE, M. Contos negreiros. Rio de Janeiro: Record, 2005.
Nesse texto, a reiteração dos medos e das angústias do
narrador exprime
A inseguranças sobre o futuro familiar.
B dilemas resultantes de seu fracasso escolar.
C incertezas centradas em sua condição social.
D hesitações em relação à sua formação profissional.
E preocupações com as políticas públicas assistenciais.
2025
GOS E SUAS TECNOLOGIAS E REDAÇÃO | 1º DIA | CADERNO 1 | AZUL
ENEM";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"22";"TEXTO I
A Ilha do Ferro, situada a 18 km do município de Pão de
Açúcar, não é uma ilha, como o nome indica. A história do
povoado é semelhante à de inúmeros outros que encontramos
às margens do Rio São Francisco, entre Alagoas e Sergipe. O que
torna diferente o lugar é sua gente. Hoje, dezenas de artistas
populares povoam a Ilha do Ferro, trabalhando principalmente
com o entalhe em madeira. Onde pessoas comuns enxergariam
apenas troncos e galhos retorcidos, eles vislumbram bancos,
bonecos, pássaros, cobras e bailarinas. “Às vezes, você passa
por um pedaço de madeira uma vez e não vê nada, passa cinco
vezes por ele e não vê nada”, conta um dos artistas, “mas, na
décima vez, você consegue enxergar alguma forma nesse pedaço
de madeira e transformá-lo em arte”.
Disponível em: www.imaterial.art.br. Acesso em: 5 fev. 2025 (adaptado).
TEXTO II
FARIAS, Y. Bailarino entalhado em gravetos de madeira. Artesanato
em madeira, 20 × 13 × 51 cm. Ilha do Ferro (AL).
Disponível em: www.nidelins.com.br. Acesso em: 5 fev. 2025.
A originalidade do trabalho dos artistas da Ilha do Ferro se dá pela
A reutilização de materiais para redução do impacto ambiental.
B ressignificação da matéria-prima atribuindo-lhe nova função.
C reprodução em madeira de modelos artísticos canônicos.
D representação de práticas corporais da comunidade.
E replicação seriada para distribuição em larga escala.
ENEM
LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO | 1º DIA |
M2025";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"23";"TEXTO I
Os trabalhos da exposição Adriana Varejão: suturas, fissuras,
ruínas colocam em pauta o exame da história visual, das tradições
iconográficas europeias e do fazer artístico ocidental. O corte,
a rachadura, o talho e a fissura são elementos de narrativas
recorrentes nos trabalhos da artista desde 1992. As produções
recentes incluem pinturas tridimensionais de grande escala das
séries Ruínas de charque e Línguas.
Disponível em: https://pinacoteca.org.br.
Acesso em: 10 jan. 2025 (adaptado).
TEXTO II
VAREJÃO, A. Azulejaria em carne viva. Óleo sobre tela, poliuretano,
madeira e alumínio, 160 × 200 × 25 cm. 1999.
Disponível em: www.adrianavarejao.net. Acesso em: 10 jan. 2025.
A utilização de recursos visuais como suturas, cortes e ruínas por
Adriana Varejão, na obra Azulejaria em carne viva, remete à(s)
A sobreposição da cultura brasileira à arte portuguesa.
B manutenção da representação realista na arte brasileira.
C violências desencadeadas pelo processo colonial brasileiro.
D desigualdades nos incentivos à produção artística brasileira.
E negligência na conservação do patrimônio arquitetônico
luso-brasileiro.
M2025
| CADERNO 1 | AZUL 11";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"24";"Disponível em: www.unicef.org.br. Acesso em: 15 jan. 2024 (adaptado).
Nesse cartaz, a utilização de frases que projetam a vida profissional de duas crianças tem como objetivo
A sugerir a arrecadação de fundos para o sustento de povos originários no país.
B sensibilizar a sociedade sobre os benefícios decorrentes do combate ao racismo.
C indicar a importância da orientação vocacional na educação de crianças no Brasil.
D chamar a atenção sobre a necessidade de ações voltadas para a educação infantil.
E valorizar o trabalho de agências internacionais na luta contra a discriminação racial.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"25";"Passando por aqui para lembrar algumas palavras, frases e expressões que nos infernizaram em 2023. Inclusive passando
por aqui. Se você for proativo, vai achar que é o novo normal. Estarão na sua zona de conforto. Mas, se for reativo como eu, vai
achar que é uma narrativa que precisa ser ressignificada.
É uma questão de empatia. É sobre entregar um discurso mais robusto e empoderado. Sei bem que não tenho lugar de fala
para harmonizar certos pontos fora da curva e que preciso aplicar toda a minha resiliência para fazer um realinhamento. O nível
de fitness está hoje num sarrafo muito alto.
O fato é que acho cringe essas falas fora da caixinha. Aliás, falar cringe já é meio cringe. Preciso usar a superação para me
reinventar e entender que resenha não tem mais a ver com futebol, é qualquer papo, desde que latente.
Pensando bem, não é tão difícil. Frases feitas são aquelas que entram por um ouvido e saem pelo outro sem um estágio
intermediário no cérebro. A boca fala por conta própria, dispensando-nos de pensar. E não tem problema nisso. Ou as ditas
frases se incorporam à língua ou morrem e nascem outras. A língua é assim. Simples assim.
CASTRO, R. Disponível em: www1.folha.uol.com.br. Acesso em: 3 fev. 2024 (adaptado).
Nesse texto, a estratégia empregada para criticar a constante exposição a palavras, frases e expressões automatizadas é o(a)
A menção feita à efemeridade de alguns usos linguísticos aleatórios.
B subjetividade marcada pela reflexão que se desenvolve em primeira pessoa.
C efeito estilístico da repetição intencional da palavra “assim” no último parágrafo.
D sedução sugerida pelo envolvimento direto do leitor marcado nos usos de “você” e “sua”.
E humor gerado pelo uso das estruturas linguísticas que são objeto da reflexão desenvolvida.
12 
ENEM";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"26";"Revista Língua Portuguesa, n. 31, maio 2008 (adaptado).
Esse texto, que apresenta um prato da culinária brasileira,
evidencia
A valor afetivo nas nomenclaturas.
B variedade linguística entre regiões.
C disputa regional pelo melhor prato.
D modos de preparo de um mesmo alimento.
E paladares diversificados entre diferentes estados.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"27";"A diferença entre briga e luta é a existência de juízes e medalhas?
A briga desumaniza o outro e pode até matá-lo. Já na luta, as
intenções do outro são consideradas sua proposta combativa e suas
habilidades, enfim, sua meta de vencer. Na luta, o desenvolvimento
passa pelo contato com a agressividade, a raiva, a frustração, o
orgulho, a determinação e a fraqueza. Daí também a luta não ser
apenas com o outro, mas consigo mesmo, num combate contra as
próprias limitações, sobretudo, contra o próprio orgulho.
BARREIRA, C. A briga desumaniza. A luta, não.
O Estado de S. Paulo, 22 ago. 2010 (adaptado).
Esse texto apresenta as diferenças entre briga e luta, na medida
em que aponta o(a)
A superação pessoal na luta.
B violência evidenciada na luta.
C predomínio de regras na briga.
D desafio externo presente na luta.
E habilidade desenvolvida na briga.
ENEM
LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO | 1º DIA |
M2025";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"28";"Pequenino morto
Tange o sino, tange, numa voz de choro,
Numa voz de choro... tão desconsolado...
No caixão dourado, como em berço de ouro,
Pequenino, levam-te dormindo... Acorda!
Olha que te levam para o mesmo lado
De onde o sino tange numa voz de choro...
Pequenino, acorda!
Que caminho triste, e que viagem! Alas
De ciprestes negros a gemer no vento;
Tanta boca aberta de famintas valas
A pedir que as fartem, a esperar que as encham...
Pequenino, acorda! Recupera o alento,
Foge da cobiça dessas fundas valas
A pedir que as encham.
CARVALHO, V. Poemas e canções. Rio de Janeiro:
Saraiva, 1962 (fragmento).
Nesse fragmento do poema, o sentimento de luto adquire
contornos expressivos e é intensificado pela
A descrição da paisagem de um cemitério.
B recusa do eu lírico à irreversibilidade da morte.
C sonoridade dos versos produzida pela pontuação.
D religiosidade evocada como forma de fortalecimento.
E impressão de sonho na construção da estrutura poética.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"29";"Só entende os corações desse lugar quem mergulha nesse
mar a perder de vista e recoberto de cana caiana, cana fita, cana
roxa, cana-de-macaco, açúcar, melado, rapadura, aguardente,
fumo, mandioca, quiabos, pimentas, moendas, frutas, fruta-pão,
sobrados, senzalas, tachos, casa de purgar. Um reino dentro de
outro, com tudo o que se tem direito: reis, rainhas, príncipes e
princesas, bobos da corte, cortesãos, conselheiros e escravos,
muitos escravos. […]
A corte do massapé, como qualquer outra na história da
humanidade, fazia tudo para não deixar escapar nenhum mísero
grão dos seus domínios para quem estivesse de fora do seu
apertado círculo. Os nomes se repetiam de pai para filho, para
sobrinho, para netos e bisnetos, de forma concêntrica e repetitiva,
para que não pairasse nenhuma dúvida de que são todos da
mesma parentela. As farinhas todas num mesmo saco brasonado.
CRUZ, E. A. Água de barrela. Rio de Janeiro: Malê, 2018.
Nesse fragmento, o narrador enumera o resultado do trabalho
com a terra, o qual, no contexto em que aparece,
A espelha a permanência dos privilégios de classe.
B oferece um panorama da população do campo.
C mostra os benefícios da fartura na agricultura.
D defende a importância da atividade coletiva.
E valoriza o trabalho ao longo das gerações.
M2025
| CADERNO 1 | AZUL 13
ENEM";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
